public_services_geometry,public_services_tag,public_services_address,public_services_street,public_services_brand_name,public_services_city
POINT (-6.3058523 53.2725076),place_of_worship,Quaker House,Stocking Lane,,
POINT (-6.2635741 53.3472049),place_of_worship,Lord of the Harvest Church,,,
POINT (-6.3928585 53.3520808),pharmacy,Boots,,Boots,
POINT (-6.3919479 53.3524542),bank,Ulster Bank,,Ulster Bank,
POINT (-6.3955983 53.3244355),post_office,Clondalkin Post Office,9th Lock Road,An Post,
POINT (-6.3459965 53.343134),kindergarten,Woodlands Creche and Afterschool,Ballyfermot Road,,
POINT (-6.4219528 53.3477525),post_office,Ballyowen Post Office,,An Post,
POINT (-6.3821613 53.2873068),pharmacy,Springfield Medicare Ltd.,Alderwood Rise,,
POINT (-6.2618788 53.3313954),pharmacy,McCauley Chemist,Charlemont Street,McCauley Chemist,Dublin
POINT (-6.4000497 53.2786356),clinic,Mary Mercer Health Clinic,Fortunestown Road,,
POINT (-6.2888157 53.2781076),post_office,Ballyboden Post Office,Whitechurch Green,An Post,
POINT (-6.3712913 53.2720803),kindergarten,Cocoon,Marlfield Mall,,
POINT (-6.3438061 53.3393525),post_office,Decies Road Post Office,Decies Road,An Post,
POINT (-6.3788941 53.2909998),clinic,X-ray,,,
POINT (-6.3511872 53.3424273),bank,Ballyfermot Credit Union,Ballyfermot Road,,Dublin
POINT (-6.3513074 53.3424523),clinic,Medical Centre,,,
POINT (-6.351719 53.3402017),library,Ballyfermot LIbrary,Ballyfermot Road,,Dublin
POINT (-6.3658441 53.3406433),post_office,Cherry Orchard Post Office,,An Post,
POINT (-6.4682984 53.2813093),veterinary,Vetcare.ie,,,
POINT (-6.4651208 53.2816594),pharmacy,Smith's Pharmacy,,,
POINT (-6.3300144 53.2756924),doctors,Woodstown Medical Centre,Woodstown Shopping Centre,,
POINT (-6.3420852 53.2811605),social_facility,Central Remedial Clinic,Firhouse Shopping Centre,,
POINT (-6.3614736 53.2768124),kindergarten,Drysdale Montessori School,Drysdale Close,,
POINT (-6.3672095 53.2759581),post_office,Aylesbury Post Office,Heatherview Road,An Post,
POINT (-6.3753899 53.2831166),bank,Bank of Ireland,Whitestown Way,Bank of Ireland,
POINT (-6.3757163 53.285876),doctors,KBM Medics Ltd,Belgard Square West,,
