,,,,,,A,B
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,shelter,,,,
,,,shelter,,,,
,,,shelter,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking,,,,
,,,parking,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,shelter,,,,
,,,shelter,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,shelter,,,,
,,,shelter,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,shelter,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking,,,,
,,,parking,,,,
,,,parking,,,,
,,,parking,,,,
,,,parking,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,shelter,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
