,,,,,,A,B
,,,recycling,,,,
,,,fast_food,,,,
,,,atm,,,,
,,,fast_food,,,,
,,,restaurant,,,,
,,,cafe,,,,
,,,dentist,,,,
,,,doctors,,,,
,,,pharmacy,,,,
,,,fast_food,,,,
,,,bench,,,,
,,,bench,,,,
,,,bench,,,,
,,,bench,,,,
,,,post_box,,,,
,,,taxi,,,,
,,,post_box,,,,
,,,recycling,,,,
,,,recycling,,,,
,,,bench,,,,
,,,bench,,,,
,,,pharmacy,,,,
,,,driving_school,,,,
,,,post_box,,,,
,,,pub,,,,
,,,bank,,,,
,,,box_office,,,,
,,,cafe,,,,
,,,restaurant,,,,
,,,restaurant,,,,
,,,fast_food,,,,
,,,library,,,,
,,,restaurant,,,,
,,,post_box,,,,
,,,pub,,,,
,,,restaurant,,,,
,,,pharmacy,,,,
,,,pharmacy,,,,
,,,pharmacy,,,,
,,,fast_food,,,,
,,,cafe,,,,
,,,cafe,,,,
,,,cafe,,,,
,,,post_box,,,,
,,,pharmacy,,,,
,,,kindergarten,,,,
,,,restaurant,,,,
,,,cafe,,,,
,,,restaurant,,,,
,,,restaurant,,,,
,,,restaurant,,,,
,,,pharmacy,,,,
,,,theatre,,,,
,,,restaurant,,,,
,,,cafe,,,,
,,,fast_food,,,,
,,,restaurant,,,,
,,,restaurant,,,,
,,,cafe,,,,
,,,restaurant,,,,
,,,restaurant,,,,
,,,restaurant,,,,
,,,restaurant,,,,
,,,pub,,,,
,,,pharmacy,,,,
,,,doctors,,,,
,,,dentist,,,,
,,,arts_centre,,,,
,,,taxi,,,,
,,,pharmacy,,,,
,,,fast_food,,,,
,,,pub,,,,
,,,recycling,,,,
